iter	Passed	Remaining
0	57	57047
1	57	28648
2	57	19169
3	57	14433
4	58	11589
5	58	9691
6	58	8336
7	59	7322
8	59	6530
9	59	5898
10	59	5380
11	60	4947
12	60	4581
13	60	4266
14	60	3993
15	61	3757
16	61	3547
17	61	3360
18	61	3192
19	62	3041
20	62	2904
21	62	2780
22	62	2667
23	63	2563
24	63	2468
25	63	2379
26	63	2298
27	63	2221
28	64	2151
29	64	2085
30	64	2023
31	64	1965
32	65	1911
33	65	1860
34	65	1811
35	65	1765
36	66	1722
37	66	1681
38	66	1642
39	66	1605
40	67	1569
41	67	1535
42	67	1503
43	67	1472
44	68	1443
45	68	1415
46	68	1388
47	68	1362
48	68	1338
49	69	1315
50	69	1291
51	69	1270
52	70	1251
53	70	1231
54	70	1211
55	70	1191
56	70	1173
57	71	1155
58	71	1138
59	71	1121
60	71	1105
61	72	1089
62	72	1074
63	72	1059
64	72	1045
65	72	1031
66	73	1018
67	73	1005
68	73	992
69	73	980
70	74	968
71	74	957
72	74	946
73	74	935
74	74	924
75	75	913
76	75	903
77	75	893
78	75	883
79	76	874
80	76	864
81	76	855
82	76	845
83	76	837
84	76	828
85	77	820
86	77	812
87	77	804
88	77	796
89	78	789
90	78	781
91	78	774
92	78	767
93	78	760
94	79	753
95	79	746
96	79	740
97	79	733
98	79	727
99	80	721
100	80	715
101	80	709
102	80	703
103	80	697
104	81	691
105	81	686
106	81	680
107	81	675
108	82	670
109	82	665
110	82	660
111	82	655
112	82	650
113	83	645
114	83	640
115	83	635
116	83	630
117	83	626
118	84	622
119	84	617
120	84	613
121	84	608
122	84	604
123	85	600
124	85	596
125	85	593
126	85	588
127	85	585
128	86	581
129	86	577
130	86	576
131	87	573
132	87	569
133	87	565
134	87	562
135	87	558
136	88	555
137	88	552
138	88	548
139	88	545
140	89	542
141	89	538
142	89	535
143	89	532
144	89	529
145	89	526
146	90	523
147	90	520
148	90	517
149	90	514
150	90	511
151	91	508
152	91	506
153	91	503
154	91	500
155	92	497
156	92	495
157	92	492
158	92	490
159	92	487
160	92	484
161	93	482
162	93	479
163	93	477
164	94	476
165	94	473
166	94	471
167	94	469
168	94	466
169	95	464
170	95	462
171	95	460
172	95	458
173	96	455
174	96	453
175	96	451
176	96	449
177	96	447
178	97	445
179	97	443
180	97	441
181	97	439
182	97	437
183	98	435
184	98	433
185	98	431
186	98	429
187	99	427
188	99	425
189	99	423
190	99	422
191	99	420
192	100	418
193	100	416
194	100	414
195	100	412
196	100	411
197	101	409
198	101	408
199	101	406
200	101	404
201	102	403
202	102	401
203	102	399
204	102	398
205	102	396
206	103	395
207	103	393
208	103	391
209	103	390
210	103	388
211	104	387
212	104	385
213	104	384
214	104	382
215	105	381
216	105	379
217	105	378
218	105	376
219	105	375
220	106	373
221	106	372
222	106	370
223	106	369
224	106	368
225	107	366
226	107	365
227	107	364
228	107	363
229	108	362
230	108	361
231	108	359
232	108	358
233	109	357
234	109	355
235	109	354
236	109	353
237	109	351
238	110	350
239	110	349
240	110	348
241	110	347
242	111	345
243	111	344
244	111	343
245	111	342
246	111	341
247	112	340
248	112	338
249	112	337
250	112	336
251	112	335
252	113	334
253	113	333
254	113	332
255	113	331
256	114	330
257	114	328
258	114	327
259	114	326
260	115	325
261	115	324
262	115	323
263	115	322
264	115	321
265	116	320
266	116	319
267	116	318
268	116	317
269	116	316
270	117	315
271	117	314
272	117	313
273	117	312
274	117	311
275	118	310
276	118	309
277	118	308
278	118	307
279	119	306
280	119	305
281	119	304
282	119	303
283	119	302
284	120	301
285	120	300
286	120	299
287	120	298
288	120	297
289	121	296
290	121	295
291	121	294
292	121	293
293	121	292
294	122	292
295	122	291
296	122	290
297	122	289
298	123	288
299	123	287
300	123	286
301	123	285
302	123	284
303	124	284
304	124	283
305	124	282
306	124	281
307	124	280
308	125	279
309	125	278
310	125	278
311	125	277
312	125	276
313	126	275
314	126	274
315	126	273
316	126	273
317	126	272
318	127	271
319	127	270
320	127	270
321	128	269
322	128	268
323	128	268
324	128	267
325	129	266
326	129	266
327	129	265
328	129	264
329	129	263
330	130	262
331	130	262
332	130	261
333	130	260
334	130	259
335	131	259
336	131	258
337	131	257
338	131	256
339	131	256
340	132	255
341	132	254
342	132	254
343	133	253
344	133	253
345	133	252
346	133	251
347	134	251
348	134	250
349	134	250
350	135	249
351	135	248
352	135	248
353	135	247
354	135	246
355	136	246
356	136	245
357	136	244
358	136	244
359	136	243
360	137	242
361	137	242
362	137	241
363	137	240
364	137	239
365	138	239
366	138	238
367	138	238
368	138	237
369	139	236
370	139	236
371	139	235
372	139	234
373	139	234
374	140	233
375	140	232
376	140	232
377	140	231
378	140	230
379	141	230
380	141	229
381	141	228
382	141	228
383	141	227
384	142	227
385	142	226
386	142	225
387	142	225
388	143	224
389	143	224
390	143	223
391	143	222
392	143	222
393	144	221
394	144	221
395	144	220
396	144	219
397	144	219
398	145	218
399	145	218
400	145	217
401	145	216
402	145	216
403	146	215
404	146	215
405	146	214
406	146	213
407	147	213
408	147	212
409	147	212
410	147	211
411	148	211
412	148	210
413	148	210
414	148	209
415	149	209
416	149	208
417	149	208
418	150	208
419	150	207
420	150	206
421	150	206
422	150	205
423	151	205
424	151	204
425	151	204
426	151	203
427	151	203
428	152	202
429	152	201
430	152	201
431	152	200
432	152	200
433	153	199
434	153	199
435	153	198
436	153	198
437	154	197
438	154	197
439	154	196
440	154	196
441	154	195
442	155	194
443	155	194
444	155	193
445	155	193
446	155	192
447	156	192
448	156	191
449	156	191
450	156	190
451	157	190
452	157	189
453	157	189
454	157	188
455	157	188
456	158	187
457	158	187
458	158	186
459	158	186
460	158	185
461	159	185
462	159	184
463	159	184
464	159	183
465	160	183
466	160	182
